DATE	LNS13000001	LNS13000002	LNS13027659	LNS13027660	LNS13027662	LNU03000000	LNU03000001	LNU03000002	LNU03027659	LNU03027660	LNU03027662	UNEMPLOY
1994-11-01	3960	3415	1142	1786	698	6973	3700	3272	1101	1704	642	7375
1994-12-01	3933	3297	1041	1729	698	6690	3767	2922	1069	1670	627	7230
1995-01-01	4007	3368	1121	1866	718	8101	4631	3470	1303	2211	751	7375
1995-02-01	3866	3321	1079	1721	717	7685	4358	3327	1202	1977	724	7187
1995-03-01	3817	3336	953	1641	784	7480	4204	3277	1088	1811	786	7153
1995-04-01	4029	3616	1072	1868	842	7378	4035	3343	1092	1859	754	7645
1995-05-01	4100	3330	1050	1859	763	7185	3961	3224	948	1697	702	7430
1995-06-01	3982	3445	1038	1744	807	7727	4010	3717	968	1636	835	7427
1995-07-01	3984	3543	1066	1724	771	7892	3993	3899	1009	1696	841	7527
1995-08-01	4060	3424	1114	1666	787	7457	3807	3650	1026	1593	949	7484
1995-09-01	4022	3456	1101	1730	740	7167	3642	3525	1010	1617	775	7478
1995-10-01	3838	3490	1103	1638	745	6884	3474	3410	1035	1517	698	7328
1995-11-01	4061	3365	1131	1746	742	7024	3796	3228	1091	1671	682	7426
1995-12-01	4044	3379	1114	1733	747	6872	3887	2986	1143	1677	667	7423
1996-01-01	3971	3520	1069	1797	755	8270	4605	3665	1260	2130	790	7491
1996-02-01	4002	3311	1096	1730	743	7858	4529	3329	1225	1983	747	7313
1996-03-01	4056	3262	1142	1732	703	7700	4483	3217	1309	1906	700	7318
1996-04-01	4054	3361	1136	1787	742	7124	4036	3089	1156	1768	653	7415
1996-05-01	4024	3399	1214	1754	750	7166	3867	3300	1098	1593	695	7423
1996-06-01	3848	3247	1068	1676	697	7377	3868	3509	993	1572	724	7095
1996-07-01	3966	3371	1090	1739	715	7693	3982	3711	1024	1719	788	7337
1996-08-01	3593	3289	1052	1615	671	6868	3355	3514	963	1538	817	6882
1996-09-01	3756	3223	1010	1689	711	6700	3413	3287	929	1586	743	6979
1996-10-01	3691	3340	963	1723	698	6577	3337	3240	896	1599	648	7031
1996-11-01	3828	3408	1044	1725	756	6816	3555	3261	1010	1662	697	7236
1996-12-01	3654	3599	1041	1700	743	6680	3525	3156	1069	1654	664	7253
1997-01-01	3848	3310	1107	1691	682	7933	4477	3457	1321	2006	712	7158
1997-02-01	3719	3383	1109	1715	671	7647	4233	3415	1244	1963	676	7102
1997-03-01	3734	3266	1059	1671	671	7399	4158	3241	1222	1832	663	7000
1997-04-01	3703	3170	1051	1614	657	6551	3650	2901	1061	1590	578	6873
1997-05-01	3387	3268	1072	1581	720	6398	3223	3175	964	1436	672	6655
1997-06-01	3660	3139	1029	1648	673	7094	3693	3401	956	1544	704	6799
1997-07-01	3500	3155	972	1586	685	6981	3517	3463	911	1576	762	6655
1997-08-01	3502	3106	953	1609	699	6594	3259	3335	872	1535	852	6608
1997-09-01	3483	3173	1004	1562	718	6403	3178	3225	921	1468	740	6656
1997-10-01	3469	2985	969	1562	636	5995	3130	2865	891	1447	596	6454
1997-11-01	3361	2947	919	1446	584	5914	3098	2816	893	1383	534	6308
1997-12-01	3422	3054	942	1528	600	5957	3304	2653	962	1497	535	6476
1998-01-01	3329	3040	878	1492	632	7069	3882	3186	1065	1782	664	6368
1998-02-01	3276	3030	894	1507	626	6804	3733	3070	1000	1734	632	6306
1998-03-01	3380	3042	890	1595	626	6816	3779	3038	1033	1760	614	6422
1998-04-01	3044	2897	920	1471	561	5643	2988	2655	920	1453	501	5941
1998-05-01	3199	2848	888	1373	575	5764	2997	2767	796	1261	533	6047
1998-06-01	3270	2941	923	1483	590	6534	3326	3207	858	1394	620	6212
1998-07-01	3403	2856	906	1531	579	6567	3418	3149	842	1504	643	6259
1998-08-01	3229	2950	881	1468	623	6173	3003	3170	800	1407	747	6179
1998-09-01	3384	2916	867	1539	595	6039	3088	2951	797	1418	606	6300
1998-10-01	3252	3028	850	1515	667	5831	2946	2884	774	1383	629	6280
1998-11-01	3163	2937	885	1468	647	5711	2906	2805	862	1400	594	6100
1998-12-01	3212	2820	863	1413	629	5565	3125	2440	900	1376	566	6032
1999-01-01	3133	2844	877	1299	621	6604	3644	2960	1073	1545	657	5976
1999-02-01	3212	2899	914	1287	669	6563	3634	2929	1020	1479	678	6111
1999-03-01	2911	2872	735	1297	660	6119	3242	2877	854	1432	641	5783
1999-04-01	3030	2974	815	1307	714	5688	2959	2729	802	1297	642	6004
1999-05-01	3111	2686	803	1304	666	5507	2906	2602	720	1202	613	5796
1999-06-01	3099	2852	826	1426	715	6271	3159	3112	765	1351	750	5951
1999-07-01	3134	2890	829	1344	662	6319	3137	3182	769	1318	733	6025
1999-08-01	3069	2769	870	1303	581	5826	2842	2984	793	1247	692	5838
1999-09-01	3057	2858	836	1379	605	5661	2790	2871	769	1264	615	5915
1999-10-01	3078	2700	809	1246	602	5372	2799	2573	735	1132	573	5778
1999-11-01	2966	2750	786	1217	604	5380	2748	2632	773	1165	556	5716
1999-12-01	2996	2657	695	1319	624	5245	2932	2313	727	1286	565	5653
2000-01-01	2978	2730	793	1297	656	6316	3468	2848	975	1534	696	5708
2000-02-01	3140	2718	748	1300	601	6284	3541	2744	837	1490	608	5858
2000-03-01	2886	2847	803	1263	605	6069	3219	2850	932	1395	584	5733
2000-04-01	2848	2633	760	1244	547	5212	2776	2436	736	1238	502	5481
2000-05-01	2944	2814	845	1301	593	5460	2741	2719	760	1199	544	5758
2000-06-01	2910	2741	785	1267	575	5959	2993	2967	726	1209	602	5651
2000-07-01	2949	2798	816	1276	632	6028	2949	3079	751	1250	697	5747
2000-08-01	3006	2847	794	1366	682	5863	2800	3064	724	1309	798	5853
2000-09-01	2950	2675	790	1308	696	5359	2683	2676	725	1192	705	5625
2000-10-01	2961	2573	820	1334	583	5153	2700	2453	746	1208	560	5534
2000-11-01	3000	2640	818	1318	557	5336	2806	2530	808	1268	515	5639
2000-12-01	3079	2555	728	1318	559	5264	3021	2243	770	1288	511	5634
2001-01-01	3262	2761	833	1430	582	6647	3786	2861	1022	1685	616	6023
2001-02-01	3305	2784	944	1408	581	6523	3719	2804	1058	1618	585	6089
2001-03-01	3313	2828	854	1429	751	6509	3692	2818	987	1579	720	6141
2001-04-01	3426	2845	861	1389	791	6004	3354	2650	822	1379	739	6271
2001-05-01	3407	2819	828	1458	782	5901	3178	2724	741	1337	719	6226
2001-06-01	3545	2940	870	1437	810	6816	3611	3205	803	1373	843	6484
2001-07-01	3570	3013	865	1538	817	6858	3530	3328	792	1507	898	6583
2001-08-01	3847	3195	906	1663	870	7017	3582	3434	827	1594	996	7042
2001-09-01	3803	3339	964	1657	923	6766	3441	3325	888	1508	940	7142
2001-10-01	4199	3495	966	1766	997	7175	3827	3348	882	1601	966	7694
2001-11-01	4408	3595	998	1854	1098	7617	4173	3443	990	1792	1025	8003
2001-12-01	4447	3811	1049	1853	1131	7773	4382	3391	1132	1817	1045	8258
2002-01-01	4489	3693	1041	1992	1088	9051	5235	3816	1267	2331	1149	8182
2002-02-01	4476	3739	1057	1986	1105	8823	5055	3768	1189	2278	1105	8215
2002-03-01	4538	3766	1032	2013	1085	8776	5052	3724	1185	2217	1037	8304
2002-04-01	4623	3976	1179	2058	1125	8255	4543	3712	1112	2046	1064	8599
2002-05-01	4543	3856	1064	2071	1145	7969	4255	3713	959	1899	1063	8399
2002-06-01	4618	3776	992	2038	1150	8758	4672	4086	922	1956	1186	8393
2002-07-01	4590	3800	1075	1923	1141	8693	4500	4193	978	1888	1248	8390
2002-08-01	4606	3698	1035	1968	1086	8271	4299	3971	947	1892	1233	8304
2002-09-01	4566	3684	965	1915	1126	7790	4114	3676	890	1733	1153	8251
2002-10-01	4535	3771	1080	1870	1168	7769	4128	3641	986	1691	1132	8307
2002-11-01	4754	3766	1122	1965	1121	8170	4546	3624	1116	1911	1053	8520
2002-12-01	4810	3831	1116	2004	1131	8209	4760	3448	1220	1979	1047	8640
2003-01-01	4820	3700	1104	1988	1176	9395	5590	3804	1326	2330	1234	8520
2003-02-01	4795	3823	1122	2054	1177	9260	5421	3839	1271	2361	1169	8618
2003-03-01	4707	3881	1111	2090	1211	9018	5228	3790	1266	2287	1160	8588
2003-04-01	4980	3862	1091	2179	1201	8501	4891	3610	1031	2150	1142	8842
2003-05-01	5037	3919	1145	2117	1197	8500	4739	3761	1040	1938	1123	8957
2003-06-01	5237	4029	1169	2169	1235	9649	5269	4380	1090	2076	1262	9266
2003-07-01	5143	3868	1102	2037	1219	9319	5021	4298	1002	2004	1334	9011
2003-08-01	4954	3942	1172	2047	1263	8830	4608	4222	1069	1966	1425	8896
2003-09-01	4996	3925	1073	2018	1269	8436	4501	3935	998	1835	1305	8921
2003-10-01	4874	3858	1144	2071	1238	8169	4413	3756	1036	1875	1203	8732
2003-11-01	4869	3707	1102	2020	1231	8269	4683	3586	1093	1971	1162	8576
2003-12-01	4534	3783	991	2055	1221	7945	4512	3433	1086	2039	1128	8317
2004-01-01	4528	3843	1117	1855	1188	9144	5224	3920	1326	2176	1235	8370
2004-02-01	4405	3762	1078	1896	1176	8770	5012	3758	1227	2182	1165	8167
2004-03-01	4556	3935	1099	2001	1167	8834	5039	3794	1242	2202	1120	8491
2004-04-01	4474	3696	1035	2003	1148	7837	4373	3464	987	1976	1094	8170
2004-05-01	4544	3668	1073	1918	1149	7792	4292	3500	975	1757	1084	8212
2004-06-01	4461	3825	1072	1990	1093	8616	4483	4133	1003	1873	1110	8286
2004-07-01	4387	3749	1017	1905	1062	8518	4302	4215	929	1871	1169	8136
2004-08-01	4431	3560	1013	1881	1080	7940	4125	3815	931	1803	1214	7990
2004-09-01	4396	3532	1103	1770	1037	7545	3980	3565	1025	1611	1061	7927
2004-10-01	4462	3599	1057	1822	1023	7531	4028	3503	948	1650	997	8061
2004-11-01	4398	3534	1021	1814	1032	7665	4224	3441	1012	1776	982	7932
2004-12-01	4402	3532	1035	1805	1013	7599	4385	3214	1133	1808	941	7934
2005-01-01	4244	3541	972	1795	997	8444	4846	3598	1144	2096	1029	7784
2005-02-01	4360	3620	984	1859	972	8549	4959	3590	1126	2129	964	7980
2005-03-01	4221	3516	978	1811	982	7986	4631	3356	1104	1994	948	7737
2005-04-01	4106	3566	1031	1696	996	7335	3992	3343	991	1679	944	7672
2005-05-01	4023	3628	993	1708	986	7287	3830	3457	904	1582	935	7651
2005-06-01	3980	3544	885	1827	945	7870	4038	3832	834	1722	955	7524
2005-07-01	3899	3506	986	1823	965	7839	3871	3967	913	1794	1073	7406
2005-08-01	3965	3380	967	1787	867	7327	3694	3634	897	1705	966	7345
2005-09-01	4031	3521	1046	1888	970	7259	3684	3575	972	1725	1002	7553
2005-10-01	3888	3565	917	1836	951	6964	3498	3466	813	1661	921	7453
2005-11-01	4014	3552	935	1823	939	7271	3816	3455	917	1771	888	7566
2005-12-01	3850	3428	919	1716	901	6956	3854	3102	991	1722	838	7279
2006-01-01	3708	3356	888	1674	878	7608	4209	3399	1041	1943	911	7064
2006-02-01	3847	3337	906	1664	916	7692	4400	3292	1040	1905	913	7184
2006-03-01	3781	3291	879	1583	935	7255	4136	3119	991	1756	907	7072
2006-04-01	3851	3268	883	1684	936	6804	3740	3064	860	1673	879	7120
2006-05-01	3840	3140	898	1636	879	6655	3672	2983	816	1528	838	6980
2006-06-01	3744	3258	905	1601	884	7341	3799	3542	851	1510	891	7001
2006-07-01	3840	3335	904	1717	868	7602	3819	3783	840	1684	972	7175
2006-08-01	3839	3252	870	1773	777	7086	3581	3505	812	1684	857	7091
2006-09-01	3551	3296	815	1593	889	6625	3267	3357	756	1453	906	6847
2006-10-01	3619	3108	741	1580	806	6272	3253	3018	653	1425	779	6727
2006-11-01	3685	3187	836	1672	795	6576	3479	3097	815	1617	752	6872
2006-12-01	3671	3091	856	1637	802	6491	3684	2806	915	1643	754	6762
2007-01-01	3903	3214	882	1653	907	7649	4406	3243	1034	1900	943	7116
2007-02-01	3886	3040	958	1668	827	7400	4421	2979	1090	1904	831	6927
2007-03-01	3710	3022	906	1539	797	6913	4047	2865	1015	1706	776	6731
2007-04-01	3765	3085	896	1568	812	6532	3651	2881	881	1557	757	6850
2007-05-01	3734	3032	818	1667	869	6486	3587	2899	749	1565	829	6766
2007-06-01	3853	3125	800	1583	890	7295	3900	3395	756	1494	897	6979
2007-07-01	3869	3280	878	1750	938	7556	3841	3715	821	1705	1056	7149
2007-08-01	3808	3259	785	1696	928	7088	3569	3519	739	1607	1017	7067
2007-09-01	3929	3242	918	1748	898	6952	3640	3312	853	1615	895	7170
2007-10-01	3975	3262	882	1781	928	6773	3598	3174	779	1623	900	7237
2007-11-01	3939	3301	944	1751	964	6917	3722	3195	916	1690	910	7240
2007-12-01	4176	3469	946	1803	938	7371	4201	3170	1003	1814	895	7645
2008-01-01	4287	3398	951	1812	936	8221	4796	3425	1112	2066	982	7685
2008-02-01	4126	3371	900	1802	923	7953	4661	3292	1020	2048	934	7497
2008-03-01	4278	3544	1025	1928	946	8027	4651	3376	1138	2121	923	7822
2008-04-01	4241	3396	934	1895	956	7287	4119	3168	927	1865	883	7637
2008-05-01	4633	3762	987	1925	982	8076	4459	3617	911	1811	939	8395
2008-06-01	4778	3798	1060	1955	1062	8933	4818	4115	998	1844	1066	8575
2008-07-01	5133	3804	1042	2074	1117	9433	5122	4311	980	2037	1252	8937
2008-08-01	5175	4262	1172	2234	1288	9479	4872	4606	1108	2126	1397	9438
2008-09-01	5529	3965	1178	2364	1187	9199	5153	4046	1097	2218	1178	9494
2008-10-01	5841	4233	1269	2460	1425	9469	5344	4125	1130	2257	1382	10074
2008-11-01	6082	4456	1309	2677	1452	10015	5725	4290	1272	2577	1372	10538
2008-12-01	6604	4682	1342	3002	1637	10999	6678	4320	1417	3023	1583	11286
2009-01-01	7058	5000	1506	3176	1772	13009	7962	5047	1755	3616	1863	12058
2009-02-01	7605	5293	1607	3274	1866	13699	8517	5182	1801	3706	1888	12898
2009-03-01	7952	5474	1714	3528	1966	13895	8644	5251	1882	3854	1927	13426
2009-04-01	8347	5506	1788	3654	1994	13248	8107	5141	1781	3568	1831	13853
2009-05-01	8716	5783	1852	3832	2169	13973	8399	5574	1736	3609	2070	14499
2009-06-01	8701	6006	1918	3721	2189	15095	8647	6448	1802	3514	2194	14707
2009-07-01	8636	5966	1884	3607	2177	15201	8515	6686	1790	3563	2422	14601
2009-08-01	8835	5979	1922	3698	2190	14823	8363	6460	1807	3535	2373	14814
2009-09-01	8911	6098	1814	4010	2296	14538	8335	6203	1682	3810	2283	15009
2009-10-01	9135	6218	1833	4194	2176	14547	8462	6085	1655	3846	2120	15352
2009-11-01	9047	6172	1762	3920	2209	14407	8505	5902	1722	3764	2093	15219
2009-12-01	8898	6200	1792	3974	2234	14740	8985	5756	1892	4005	2175	15098
2010-01-01	8987	6059	1826	3891	2237	16147	10021	6126	2116	4406	2351	15046
2010-02-01	8939	6175	1837	4149	2254	15991	9923	6068	2046	4664	2285	15113
2010-03-01	8970	6233	1764	4309	2210	15678	9696	5982	1914	4674	2172	15202
2010-04-01	8967	6359	1776	4184	2196	14609	8699	5910	1778	4056	2015	15325
2010-05-01	8531	6318	1770	4183	2109	14369	8252	6117	1683	3945	2012	14849
2010-06-01	8511	5963	1714	4014	2038	14885	8521	6363	1603	3786	2043	14474
2010-07-01	8425	6087	1608	3775	2096	15137	8323	6814	1538	3739	2317	14512
2010-08-01	8475	6173	1665	3850	2094	14759	8093	6666	1562	3698	2273	14648
2010-09-01	8398	6181	1843	3674	2089	14140	7886	6254	1691	3521	2084	14579
2010-10-01	8228	6288	1762	3715	2135	13903	7705	6198	1611	3452	2081	14516
2010-11-01	8611	6470	1814	3760	2341	14282	8111	6171	1788	3616	2228	15081
2010-12-01	8217	6131	1752	3712	2221	13997	8278	5719	1850	3761	2140	14348
2011-01-01	7945	6067	1645	3569	1979	14937	8796	6141	1892	4023	2062	14013
2011-02-01	7771	6049	1583	3635	1999	14542	8564	5978	1752	4056	2025	13820
2011-03-01	7732	6005	1633	3634	2060	14060	8304	5756	1756	3937	2036	13737
2011-04-01	7858	6098	1698	3716	2101	13237	7593	5644	1703	3599	1937	13957
2011-05-01	7751	6104	1656	3610	2125	13421	7515	5905	1597	3423	2012	13855
2011-06-01	7856	6105	1644	3754	2033	14409	7910	6499	1531	3538	2044	13962
2011-07-01	7736	6027	1693	3391	1988	14428	7664	6764	1641	3364	2186	13763
2011-08-01	7715	6103	1657	3438	1974	14008	7422	6587	1547	3327	2152	13818
2011-09-01	7653	6295	1690	3511	1973	13520	7189	6331	1536	3369	1973	13948
2011-10-01	7593	6001	1587	3504	2048	13102	7151	5951	1465	3258	1998	13594
2011-11-01	7328	5974	1497	3251	2079	12613	6923	5690	1483	3119	1985	13302
2011-12-01	7180	5913	1599	3192	1940	12692	7181	5511	1680	3237	1873	13093
2012-01-01	6870	5927	1487	3131	2040	13541	7526	6015	1705	3508	2108	12797
2012-02-01	6902	5911	1494	3082	2007	13430	7573	5857	1650	3422	2034	12813
2012-03-01	6875	5838	1453	2966	1996	12904	7323	5580	1561	3212	1974	12713
2012-04-01	6840	5806	1409	2947	1907	11910	6555	5355	1421	2852	1765	12646
2012-05-01	6896	5764	1470	3052	1898	12271	6697	5574	1428	2880	1783	12660
2012-06-01	6920	5772	1443	3161	1939	13184	7030	6153	1332	2967	1957	12692
2012-07-01	6863	5793	1425	3137	1943	13400	6863	6537	1395	3105	2136	12656
2012-08-01	6812	5659	1328	3139	1968	12696	6580	6116	1241	3058	2160	12471
2012-09-01	6604	5512	1322	3105	1954	11742	6221	5520	1182	3000	1943	12115
2012-10-01	6570	5553	1371	3022	1788	11741	6217	5523	1263	2831	1764	12124
2012-11-01	6499	5506	1321	2945	1895	11404	6167	5237	1310	2830	1815	12005
2012-12-01	6509	5789	1312	2925	1953	11844	6503	5341	1371	2971	1866	12298
2013-01-01	6807	5664	1334	2988	1869	13181	7426	5755	1533	3338	1907	12471
2013-02-01	6409	5541	1254	2879	1901	12500	7020	5479	1378	3186	1922	11950
2013-03-01	6226	5462	1240	2775	1851	11815	6611	5203	1334	3003	1837	11689
2013-04-01	6484	5276	1259	2714	1916	11014	6172	4843	1262	2610	1775	11760
2013-05-01	6502	5151	1226	2669	1907	11302	6316	4986	1188	2525	1770	11654
2013-06-01	6415	5336	1203	2820	1885	12248	6560	5688	1102	2643	1923	11751
2013-07-01	6348	4987	1181	2764	1855	12083	6396	5688	1163	2727	2051	11335
2013-08-01	6381	4898	1228	2690	1658	11462	6148	5314	1148	2656	1847	11279
2013-09-01	6389	4881	1153	2765	1813	10885	6009	4875	1027	2668	1804	11270
2013-10-01	6194	4941	1180	2614	1842	10773	5858	4915	1079	2451	1826	11136
2013-11-01	5946	4840	1158	2587	1698	10271	5671	4600	1153	2496	1616	10787
2013-12-01	5588	4816	1058	2548	1657	9984	5583	4402	1113	2580	1559	10404
2014-01-01	5605	4597	1010	2327	1646	10855	6153	4702	1203	2614	1676	10202
2014-02-01	5683	4666	1092	2316	1710	10893	6267	4626	1203	2568	1726	10349
2014-03-01	5528	4852	1047	2268	1679	10537	5868	4669	1139	2455	1687	10380
2014-04-01	5276	4425	934	2246	1643	9079	5018	4061	940	2160	1527	9702
2014-05-01	5315	4544	991	2350	1619	9443	5104	4339	950	2211	1487	9859
2014-06-01	5200	4261	972	2135	1639	9893	5310	4584	878	2007	1683	9460
2014-07-01	5166	4442	976	2209	1564	10307	5220	5087	958	2189	1738	9608
2014-08-01	5199	4400	986	2216	1580	9787	4991	4796	914	2191	1774	9599
2014-09-01	4886	4376	911	1944	1479	8962	4596	4366	791	1860	1471	9262
2014-10-01	4638	4352	881	2066	1516	8680	4379	4301	787	1943	1493	8990
2014-11-01	4869	4221	957	2020	1645	8630	4627	4003	955	1932	1543	9090
2014-12-01	4763	3953	955	1863	1473	8331	4748	3584	996	1875	1377	8717
2015-01-01	4863	4022	939	1910	1458	9498	5374	4124	1126	2155	1483	8885
2015-02-01	4691	3908	919	1891	1408	9095	5216	3879	1025	2106	1421	8599
2015-03-01	4647	3868	952	1877	1225	8682	4954	3729	1046	2029	1240	8515
2015-04-01	4604	3945	956	1938	1404	7966	4362	3605	967	1853	1301	8550
2015-05-01	4794	4040	970	2067	1462	8370	4546	3824	919	1927	1329	8834
2015-06-01	4464	3783	907	1906	1292	8638	4560	4078	821	1789	1333	8247
2015-07-01	4349	3818	900	1950	1320	8805	4394	4410	872	1939	1477	8167
2015-08-01	4287	3705	839	1944	1244	8162	4098	4064	770	1928	1415	7992
2015-09-01	4252	3655	839	1870	1315	7628	3984	3643	730	1778	1301	7907
2015-10-01	4242	3680	811	1841	1339	7597	3993	3604	715	1744	1308	7922
2015-11-01	4339	3661	742	1920	1342	7573	4115	3458	743	1838	1252	8000
2015-12-01	4280	3628	695	1942	1319	7542	4280	3262	742	1955	1231	7907
2016-01-01	4004	3623	775	1814	1313	8309	4569	3741	951	2073	1348	7627
2016-02-01	4110	3592	746	1823	1305	8219	4637	3582	856	2063	1326	7702
2016-03-01	4180	3781	795	1884	1390	8116	4499	3617	891	2055	1391	7961
2016-04-01	4311	3756	828	1941	1323	7413	4021	3391	830	1850	1205	8067
2016-05-01	4085	3567	779	1833	1334	7207	3851	3356	722	1695	1201	7652
2016-06-01	4185	3559	805	1805	1375	8144	4275	3869	730	1675	1417	7744
2016-07-01	4284	3356	687	1813	1320	8267	4308	3960	653	1798	1511	7641
2016-08-01	4219	3565	791	1808	1420	7996	4052	3945	726	1798	1613	7784
2016-09-01	4340	3613	932	1868	1383	7658	4043	3615	824	1784	1363	7953
2016-10-01	4291	3521	794	1968	1412	7447	4025	3423	698	1854	1378	7811
2016-11-01	4127	3426	829	1794	1279	7066	3865	3201	820	1698	1187	7553
2016-12-01	4100	3421	781	1803	1341	7170	4095	3075	840	1825	1252	7521
2017-01-01	3952	3515	776	1825	1344	8149	4514	3635	950	2076	1382	7466
2017-02-01	3943	3432	785	1717	1290	7887	4463	3424	896	1943	1311	7376
2017-03-01	3859	3261	669	1736	1330	7284	4172	3112	768	1903	1332	7119
2017-04-01	3795	3402	656	1669	1351	6555	3509	3046	656	1583	1236	7196
2017-05-01	3668	3351	641	1723	1303	6572	3436	3136	582	1592	1168	7020
2017-06-01	3652	3209	672	1672	1295	7250	3740	3510	603	1536	1336	6861
2017-07-01	3698	3127	746	1613	1274	7441	3728	3713	708	1599	1465	6825
2017-08-01	3824	3255	638	1820	1309	7287	3659	3628	575	1821	1503	7079
2017-09-01	3691	3149	729	1561	1267	6556	3397	3158	626	1471	1247	6840
2017-10-01	3633	2987	615	1537	1161	6242	3362	2880	516	1431	1124	6620
2017-11-01	3663	3096	531	1598	1168	6286	3408	2877	518	1504	1074	6759
2017-12-01	3540	3092	633	1495	1210	6278	3531	2747	693	1515	1123	6632
2018-01-01	3511	2985	566	1559	1195	7189	4079	3110	738	1806	1235	6496
2018-02-01	3468	3121	587	1556	1263	7091	3977	3114	697	1771	1281	6590
2018-03-01	3464	3035	559	1512	1251	6671	3773	2898	661	1679	1251	6499
2018-04-01	3631	2921	603	1532	1200	5932	3355	2576	603	1451	1088	6551
2018-05-01	3442	2767	547	1429	1173	5756	3206	2549	484	1301	1040	6209
2018-06-01	3487	2945	582	1533	1323	6812	3573	3238	516	1397	1364	6432
2018-07-01	3242	2888	515	1485	1248	6730	3274	3456	474	1468	1441	6130
2018-08-01	3318	2850	579	1421	1140	6370	3150	3220	516	1425	1331	6167
2018-09-01	3290	2747	594	1364	1140	5766	3002	2765	499	1272	1120	6037
2018-10-01	3304	2860	610	1474	1172	5771	3029	2742	510	1375	1132	6164
2018-11-01	3191	2924	571	1298	1291	5650	2941	2709	554	1203	1198	6115
2018-12-01	3426	2954	600	1361	1269	6029	3417	2612	661	1380	1182	6379
2019-01-01	3463	2979	579	1307	1397	7140	4031	3109	750	1554	1441	6442
2019-02-01	3243	2885	550	1313	1263	6625	3745	2880	660	1521	1279	6128
2019-03-01	3371	2830	585	1276	1197	6382	3681	2701	689	1444	1195	6201
2019-04-01	3333	2662	529	1250	1214	5387	3064	2323	527	1172	1099	5995
2019-05-01	3212	2753	516	1303	1268	5503	2971	2532	451	1176	1137	5965
2019-06-01	3140	2774	528	1456	1246	6292	3226	3066	467	1319	1286	5914
2019-07-01	3193	2776	498	1318	1264	6556	3227	3329	455	1297	1459	5969
2019-08-01	3246	2755	542	1297	1212	6203	3078	3125	477	1302	1405	6000
2019-09-01	3153	2575	490	1320	1177	5465	2867	2598	400	1227	1157	5728
2019-10-01	3188	2735	553	1372	1224	5510	2906	2603	452	1279	1180	5922
2019-11-01	3142	2765	520	1361	1182	5441	2890	2550	498	1260	1088	5907
2019-12-01	3039	2805	524	1320	1164	5503	3033	2471	588	1337	1079	5844
2020-01-01	3057	2738	540	1328	1174	6504	3629	2874	711	1579	1222	5796
2020-02-01	3048	2669	559	1276	1162	6218	3549	2668	671	1484	1177	5717
2020-03-01	3811	3374	640	1510	1491	7370	4120	3250	745	1682	1484	7185
2020-04-01	11274	11834	1820	5726	5040	22504	11010	11494	1816	5646	4924	23109
2020-05-01	10200	10775	1629	5177	4464	20514	9959	10554	1563	5048	4336	20975
2020-06-01	8921	8776	1377	4102	4257	18072	9004	9068	1319	3969	4296	17697
2020-07-01	8278	8030	1256	3683	4139	16882	8310	8572	1209	3660	4338	16308
2020-08-01	7057	6485	1073	3354	3252	13742	6889	6853	1009	3358	3444	13542
2020-09-01	6537	5998	939	3139	2837	12277	6251	6026	853	3044	2818	12535
2020-10-01	5958	5091	911	2873	2488	10620	5670	4950	809	2782	2440	11049
2020-11-01	5894	4834	858	2728	2524	10264	5643	4621	833	2624	2432	10728
2020-12-01	5694	5042	893	2726	2274	10404	5689	4715	958	2745	2190	10736
2021-01-01	5434	4696	832	2455	2422	10851	6003	4848	999	2687	2472	10130
2021-02-01	5395	4577	907	2485	2327	10486	5899	4587	1021	2686	2344	9972
